10	Bürgerschaftskanzlei
11	Senatskanzlei/Personalamt (ohne Zentrum für Personaldienste)
12	Verfassungsgericht
13	Rechnungshof
20	Justizbehörde
30	Behörde für Bildung und Sport
34	Behörde für Wissenschaft und Forschung
37	Kulturbehörde
40	Behörde für Soziales, Familie, Gesundheit und Verbraucherschutz
60	Behörde für Stadtentwicklung und Umwelt
70	Behörde für Wirtschaft und Arbeit
80	Behörde für Inneres
81	Bezirksamt Hamburg-Mitte
82	Bezirksamt Altona
83	Bezirksamt Eimsbüttel
84	Bezirksamt Hamburg-Nord
86	Bezirksamt Wandsbek
87	Bezirksamt Bergedorf
88	Bezirksamt Harburg
90	Finanzbehörde
91	Steuerverwaltung, Finanzämter, Gemeinschaftssteuern, Landessteuern, Finanzausgleiche
97	Personalamt – Zentrum für Personaldienste –
