011,Lohnsteuer
012,Veranlagte Einkommensteuer
013,Nicht veranlagte Steuern vom Ertrag (ohne Abgeltungssteuer auf Zins- und Veräußerungserträge)
014,Körperschaftsteuer
015,Umsatzsteuer
016,Einfuhrumsatzsteuer
017,Gewerbesteuerumlage
018,Abgeltungssteuer auf Zins- und Veräußerungserträge
038,Kraftfahrzeugsteuer
051,Vermögensteuer
052,Erbschaftsteuer
053,Grunderwerbsteuer
055,Totalisatorsteuer
056,Andere Rennwettsteuern
057,Lotteriesteuer
059,Feuerschutzsteuer
061,Biersteuer
069,"Sonstige Landessteuern, Sammeltitel für Steuern, für die wegen ihres geringen Aufkommens der nach dem Gruppierungsplan vorgesehene Titel nicht eingerichtet wird."
071,Gemeindeanteil an der Lohnsteuer und der veranlagten Einkommensteuer
072,Grundsteuer A
073,Grundsteuer B
075,Gewerbesteuer
076,Gemeindeanteil an der Umsatzsteuer
077,"Gewerbesteuerumlage, die an den Bund und an die Länderebene des Stadtstaates gezahlt wird. Es erfolgt ein Nachweis mit negativem Vorzeichen."
078,Gemeindeanteil an der Abgeltungssteuer auf Zins- und Veräußerungserträge
081,Vergnügungsteuer für die Vorführung von Bildstreifen
082,Sonstige Vergnügungsteuer (z.B. Spielgerätesteuer)
083,Hundesteuer
084,Getränkesteuer
086,Schankerlaubnissteuer
087,Jagd- und Fischereisteuer
089,Sonstige Gemeindesteuern
093,Abgaben von Spielbanken
099,Sonstige steuerähnliche Abgaben
111,"Gebühren, sonstige Entgelte"
112,Geldstrafen und Geldbußen
119,Sonstige Verwaltungseinnahmen
121,Gewinne aus Unternehmen und Beteiligungen
122,Konzessionsabgaben
123,"Einnahmen aus Lotterie, Lotto und Toto"
124,Mieten und Pachten
125,Erlöse aus der Veräußerung von beweglichen Sachen und Diensten  aus wirtschaftlicher Tätigkeit
129,Sonstige Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen
131,Erlöse aus der Veräußerung von unbeweglichen Sachen
132,Erlöse aus der Veräußerung von beweglichen Sachen
133,Erlöse aus der Veräußerung von Beteiligungen und sonstigem Kapitalvermögen
134,Kapitalrückzahlungen
141,Einnahmen aus der Inanspruchnahme von Gewährleistungen aus dem Inland
146,Einnahmen aus der Inanspruchnahme von Gewährleistungen aus dem Ausland
151,Zinseinnahmen vom Bund
152,Zinseinnahmen von Ländern
153,Zinseinnahmen von Gemeinden und Gemeindeverbänden
154,Zinseinnahmen von Sondervermögen
156,Zinseinnahmen von Sozialversicherungsträgern sowie von der Bundesanstalt für Arbeit
157,Zinseinnahmen von Zweckverbänden
161,Zinseinnahmen von öffentlichen Unternehmen und Einrichtungen
162,Sonstige Zinseinnahmen aus dem Inland
166,Zinseinnahmen aus dem Ausland
171,Darlehensrückflüsse vom Bund
172,Darlehensrückflüsse von Ländern
173,Darlehensrückflüsse von Gemeinden und Gemeindeverbänden
174,Darlehensrückflüsse von Sondervermögen
176,Darlehensrückflüsse von Sozialversicherungsträgern sowie von der Bundesanstalt für Arbeit
177,Darlehensrückflüsse von Zweckverbänden
181,Darlehensrückflüsse von öffentlichen Unternehmen und Einrichtungen
182,Sonstige Darlehensrückflüsse aus dem Inland
186,Darlehensrückflüsse aus dem Ausland
211,Allgemeine Zuweisungen vom Bund
212,Allgemeine Zuweisungen von Ländern
213,Allgemeine Zuweisungen von Gemeinden und Gemeindeverbänden
214,Allgemeine Zuweisungen von Sondervermögen
216,Allgemeine Zuweisungen von Sozialversicherungsträgern sowie von der Bundesanstalt für Arbeit
217,Allgemeine Zuweisungen von Zweckverbänden
221,Schuldendiensthilfen vom Bund
222,Schuldendiensthilfen von Ländern
223,Schuldendiensthilfen von Gemeinden und Gemeindeverbänden
224,Schuldendiensthilfen von Sondervermögen
226,Schuldendiensthilfen von Sozialversicherungs- trägern sowie von der Bundesanstalt für Arbeit
227,Schuldendiensthilfen von Zweckverbänden
231,Sonstige Zuweisungen vom Bund
232,Sonstige Zuweisungen von Ländern
233,Sonstige Zuweisungen von Gemeinden und Gemeindeverbänden
234,sonstige Zuweisungen von Sondervermögen
235,Sonstige Zuweisungen von Sozialversicherungsträgern sowie von der Bundesanstalt für Arbeit
236,Erstattungen von Sozialversicherungsträgern sowie der Bundesanstalt für Arbeit
237,Sonstige Zuweisungen von Zweckverbänden
261,Schuldendiensthilfen und Erstattungen von Verwaltungsausgaben aus dem Inland
266,Schuldendiensthilfen Erstattungen von Verwaltungsausgaben aus dem Ausland (soweit nicht von der EU)
271,Erstattungen von der EU
272,Sonstige Zuschüsse von der EU
281,Sonstige Erstattungen aus dem Inland
282,Sonstige Zuschüsse aus dem Inland
286,Sonstige Erstattungen aus dem Ausland (soweit nicht von der EU)
287,Sonstige Zuschüsse aus dem Ausland (soweit nicht von der EU)
291,"Vermögensübertragungen vom Bund, soweit nicht Investitionszuweisungen"
292,"Vermögensübertragungen von Ländern, soweit nicht Investitionszuweisungen"
293,"Vermögensübertragungen von Gemeinden und Gemeindeverbänden, soweit nicht Investitionszuweisungen"
297,"Vermögensübertragungen von Unternehmen, soweit nicht Investitionszuschüsse"
298,"Vermögensübertragungen von Sonstigen aus dem Inland, soweit nicht Investitionszuschüsse"
299,"Vermögensübertragungen aus dem Ausland, soweit nicht Investitionszuschüsse"
311,Schuldenaufnahmen beim Bund
312,Schuldenaufnahmen bei Ländern
313,Schuldenaufnahmen bei Gemeinden und Gemeindeverbänden
314,Schuldenaufnahmen bei Sondervermögen
317,Schuldenaufnahmen bei Zweckverbänden
321,Schuldenaufnahmen bei öffentlichen Unternehmen und Einrichtungen
322,Schuldenaufnahmen bei Sozialversicherungsträgern und der Bundesanstalt für Arbeit
325,Schuldenaufnahmen auf dem sonstigen inländischen Kreditmarkt
326,Schuldenaufnahmen im Ausland
331,Zuweisungen für Investitionen vom Bund
332,Zuweisungen für Investitionen von Ländern
333,Zuweisungen für Investitionen von Gemeinden und Gemeindeverbänden
334,Zuweisungen für Investitionen von Sondervermögen
336,Zuweisungen für Investitionen von Sozialversicherungsträgern sowie von der Bundesanstalt für Arbeit
337,Zuweisungen für Investitionen von Zweckverbänden
341,Beiträge
342,Sonstige Zuschüsse für Investitionen aus dem Inland
346,Zuschüsse für Investitionen von der EU
347,Sonstige Zuschüsse für Investitionen aus dem Ausland (soweit nicht von der EU)
351,Entnahmen aus der Ausgleichsrücklage
352,Entnahmen aus der Betriebsmittelrücklage
353,Entnahmen aus der Schuldendienstrücklage
354,Entnahmen aus der Bürgschaftssicherungsrücklage
355,Entnahmen aus der Konjunkturausgleichsrücklage
356,Entnahmen aus Fonds und Stöcken
359,Sonstige
361,Einnahmen aus Überschüssen der Vorjahre
371,Globale Mehreinnahmen
372,Globale Mindereinnahmen
381,Verrechnungen zwischen Kapiteln
382,Durchlaufende Posten
389,Sonstige haushaltstechnische Verrechnungen
411,Aufwendungen für Abgeordnete
412,Aufwendungen für ehrenamtlich Tätige
421,Amtsbezüge der Mitglieder des Senats
422,"Bezüge und Nebenleistungen der Beamtinnen, Beamten, Richterinnen und Richter"
424,Zuführung an die Versorgungsrücklage
425,Vergütungen der Angestellten
426,Löhne der Arbeiterinnen und Arbeiter
427,"Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige"
428,Entgelte der Arbeitnehmerinnen und Arbeitnehmer
429,Nicht aufteilbare Personalausgaben
431,Ruhegehälter der ehemaligen Mitglieder des Senats
432,"Versorgungsbezüge der Beamtinnen, Beamten, Richterinnen und Richter"
434,Zuführung an die Versorgungsrücklage
435,Versorgungsbezüge der Angestellten
436,Versorgungsbezüge der Arbeiterinnen und Arbeiter
438,Versorgungsbezüge der Arbeitnehmerinnen und Arbeitnehmer
439,Sonstige Versorgungsbezüge
441,"Beihilfen, soweit nicht für Versorgungsempfängerinnen und Versorgungsempfänger"
443,Fürsorgeleistungen und Unterstützungen
446,"Beihilfen für Versorgungsempfängerinnen, Versorgungsempfänger und dgl."
451,Zuschüsse zur Gemeinschaftsverpflegung und zu Gemeinschaftsveranstaltungen sowie für soziale Einrichtungen
452,Personalbezogene Zahlungen an die Sozialversicherungsträger (soweit nicht unter Obergruppen 41 bis 44 erfasst)
453,"Trennungsgeld, Umzugskostenvergütungen"
459,Sonstige personalbezogene Ausgaben (soweit nicht bei den Gruppen 451 - 453)
461,Globale Mehrausgaben für Personalausgaben
462,Globale Minderausgaben für Personalausgaben
511,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände"
514,"Haltung von Fahrzeugen, Verbrauchsmittel, Dienst- und Schutzkleidung und dgl."
517,Bewirtschaftung der Grundstücke
518,Mieten und Pachten
519,Unterhaltung der Grundstücke
521,Unterhaltung des sonstigen unbeweglichen Vermögens
523,Kunst- und wissenschaftliche Sammlungen und Bibliotheken
525,"Lehr- und Lernmittel, Aus- und Fortbildung"
526,"Sachverständige, Gerichts- und ähnliche Kosten"
527,Dienstreisen
529,Verfügungsmittel
531,Veröffentlichungen
532,"Steuern, Abgaben und Versicherungen"
