Kap	""	Ergebnis	Ansatz	Ansatz	Ansatz
Titel	Zweckbestimmung	2008 , 2009	2010	2011	2012
Nr	""	Tsd EUR	Tsd EUR	Tsd EUR	Tsd EUR
1	2	3	4	5	6
-------	""	""	""	""	""
3000	Verwaltung	""	""	""	""
--------	--------------------------------	""	""	""	""
(111)	""	""	""	""	""
""	  EINNAHMEN	""	""	""	""
111.01	Gebühren für Prüfungen	123 	117 	147 	147 
""	""	117 	""	""	""
112.01	Geldbußen wegen Schulpflichtverletzungen	5 	0 	-	-
""	""	30 	""	""	""
119.01	Einnahmen aus Schadenersatzleistungen für die	4 	5 	5 	5 
""	Nichtrückgabe und Beschädigung von Lernbüchern	5 	""	""	""
""	Die Einnahmen dienen zur Deckung der über die	""	""	""	""
""	Grundbewilligung hinausgehenden Ausgaben bei	""	""	""	""
""	03.1.3100.525.78 03.1.3110.525.78	""	""	""	""
""	03.1.3120.525.78 03.1.3140.525.78.	""	""	""	""
119.02	Einnahmen aus Schadenersatzleistungen für die	61 	0 	-	-
""	Beschädigung von Schulgebäuden und -anlagen	86 	""	""	""
""	(Weggefallener Ansatz)	""	""	""	""
119.04	Einnahmen aus Werbung	0 	0 	-	-
""	""	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Ausgaben bei	""	""	""	""
""	03.1.3000.546.04	""	""	""	""
""	Dies gilt für Einnahmen bis zur Höhe von 500 EUR	""	""	""	""
""	uneingeschränkt, für darüber hinausgehende	""	""	""	""
""	Einnahmen in Höhe von 50 %	""	""	""	""
119.75	Erlöse aus zusätzlichen Angeboten und Verkäufen;	73 	0 	-	-
""	Kostenbeiträge für die Durchführung von Fort-	68 	""	""	""
""	bildungsmaßnahmen	""	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 03.1.3000.518.75 03.1.3000.525.75	""	""	""	""
""	03.1.3000.531.75 03.1.3000.534.75.	""	""	""	""
119.92	Schadenersatzleistungen	122 	55 	55 	55 
""	""	111 	""	""	""
119.95	Einnahmen aus Mahnkosten, Verspätungszuschlägen	20 	0 	-	-
""	und Stundungszinsen	62 	""	""	""
Kap	""	Ergebnis	Ansatz	Ansatz	Ansatz
Titel	Zweckbestimmung	2008 , 2009	2010	2011	2012
Nr	""	Tsd EUR	Tsd EUR	Tsd EUR	Tsd EUR
1	2	3	4	5	6
119.98	Vermischte Einnahmen	63 	36 	36 	36 
""	""	69 	""	""	""
124.91	Einnahmen aus Vermietung, Verpachtung und	1 	0 	""	""
""	Nutzung von Grundstücken	0 	""	""	""
""	(Weggefallener Ansatz)	""	""	""	""
261.01	Erstattung von Verwaltungskosten durch den Landes-	34 	34 	34 	34 
(152)	betrieb Hamburger Volkshochschule	0 	""	""	""
282.05	Zuschüsse zu den laufenden Kosten	0 	0 	-	-
""	behindertengerechter Arbeitsplätze	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 03.1.3000.511.10 03.1.3000.525.75.	""	""	""	""
342.03	Zuschüsse zur behindertengerechten Ausstattung von	44 	0 	-	-
(290)	Arbeitsplätzen	144 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 03.1.3000.812.04.	""	""	""	""
""	Gesamteinnahmen	""	247	277	277 
""	AUSGABEN	""	""	""	""
KRD	Kontenrahmen für Dienstbezüge 	21.612 	19.923 	20.361 	20.532 
""	""	23.154 	""	""	""
KRN	Kontenrahmen für Nebenleistungen - Beihilfen,	125 	0 	-	-
""	Unterstützungen u. dgl.	102 	""	""	""
KRN	Kontenrahmen für Nebenleistungen -	83 	0 	-	-
""	personalbezogene Sachausgaben	128 	""	""	""
KRV	Kontenrahmen für Versorgung 	1.735 	2.393 	2.991 	3.104 
""	""	2.364 	""	""	""
412.01	Aufwandsentschädigungen und andere Ausgaben für	14 	25 	25 	25 
""	Deputierte, ehrenamtliche Beisitzerinnen und	32 	""	""	""
""	Beisitzer usw	6 R	""	""	""
459.95	Prämien im Rahmen des betrieblichen	0 	2 	2 	2 
""	Vorschlagwesens	0 	""	""	""
""	""	6 R	""	""	""
""	Übertragbar	""	""	""	""
Kap	""	Ergebnis	Ansatz	Ansatz	Ansatz
Titel	Zweckbestimmung	2008 , 2009	2010	2011	2012
Nr	""	Tsd EUR	Tsd EUR	Tsd EUR	Tsd EUR
1	2	3	4	5	6
3--0-0-0---	""	""	""	""	""
461.01	Zentral veranschlagte Personalausgaben im	0 	0 	-	-
""	Einzelplan 3.1	0 	""	""	""
""	Übertragbar	""	""	""	""
""	Die Mittel dienen zum Ausgleich von Mehrausgaben	""	""	""	""
""	bei stellengebundenen Personalausgaben im KRD-	""	""	""	""
""	Bereich des Einzelplans	""	""	""	""
461.20	Beitrag zur Finanzierung des Modernisierungsfonds	0 	3.579 	""	""
""	""	0 	""	""	""
""	Übertragbar	""	""	""	""
""	(Weggefallener Ansatz)	""	""	""	""
511.10	Laufende Kosten der behindertengerechten Arbeits-	4 	2 	2 	2 
""	plätze	3 	""	""	""
""	""	9 R	""	""	""
""	Übertragbar	""	""	""	""
""	Mehrausgaben dürfen geleistet werden in Höhe der	""	""	""	""
""	anteiligen Einnahmen bei 03.1.3000.282.05.	""	""	""	""
519.01	Unterhaltung der Grundstücke und baulichen Anlagen	78 	88 	85 	92 
""	""	289 	""	""	""
""	""	50 R	""	""	""
""	Übertragbar	""	""	""	""
""	Deckungsfähig im Einzelplandeckungskreis	""	""	""	""
""	EDK-031-11.	""	""	""	""
525.92	Erstattung an das Zentrum für Aus- und Fortbildung	0 	186 	182 	182 
""	""	144 	""	""	""
""	Übertragbar	""	""	""	""
532.01	Versicherungsprämien und Unfallentschädigungen	45 	49 	49 	49 
(129)	""	44 	""	""	""
""	Übertragbar	""	""	""	""
532.02	Kraftfahrzeugsteuer	0 	0 	16 	16 
(129)	""	0 	""	""	""
""	Übertragbar	""	""	""	""
535.56	Geräte und Ausstattungsgegenstände sowie	5.550 	4.668 	3.690 	3.790 
""	Software (IT)	4.540 	""	""	""
""	""	1.160 R	""	""	""
""	Übertragbar	""	""	""	""
""	Einseitig deckungsfähig zugunsten	""	""	""	""
""	03.1.3000.671.56.	""	""	""	""
Kap	""	Ergebnis	Ansatz	Ansatz	Ansatz
Titel	Zweckbestimmung	2008 , 2009	2010	2011	2012
Nr	""	Tsd EUR	Tsd EUR	Tsd EUR	Tsd EUR
1	2	3	4	5	6
-3-00-0----	""	""	""	""	""
546.04	Verwendung der Einnahmen aus Werbung	0 	0 	-	-
""	""	0 	""	""	""
""	Übertragbar	""	""	""	""
""	Ausgaben dürfen geleistet werden in Höhe der	""	""	""	""
""	Einnahmen bei 03.1.3000.119.04	""	""	""	""
""	Dies gilt für Mehreinnahmen bis zur Höhe von	""	""	""	""
""	500 EUR uneingeschränkt, für darüber hinausgehende	""	""	""	""
""	Einnahmen in Höhe von 50 %	""	""	""	""
632.01	Zuweisungen für gemeinsam finanzierte	484 	572 	618 	618 
(011)	Einrichtungen der Kultusministerkonferenz	645 	""	""	""
""	""	68 R	""	""	""
""	Übertragbar	""	""	""	""
""	Gegenseitig deckungsfähig sind 03.1.3000.632.01	""	""	""	""
""	03.1.3000.632.02 03.1.3050.685.01 .	""	""	""	""
632.02	Zuweisung für das Georg-Eckert-Institut für	40 	41 	41 	41 
(178)	internationale Schulbuchforschung	40 	""	""	""
""	Übertragbar	""	""	""	""
""	Gegenseitig deckungsfähig sind 03.1.3000.632.01	""	""	""	""
""	03.1.3000.632.02 03.1.3050.685.01 .	""	""	""	""
671.53	Dataport-Leistungen	1.637 	1.835 	""	""
""	(Erstattungen für ESARI-Dienstleistungen)	1.637 	""	""	""
""	""	230 R	""	""	""
""	(Weggefallener Ansatz)	""	""	""	""
671.55	Erstattung der Kosten für die Inanspruchnahme des	2.685 	2.625 	""	""
""	behördeninternen Telefonverkehrs	2.935 	""	""	""
""	Übertragbar	""	""	""	""
""	(Weggefallener Ansatz)	""	""	""	""
